Name,Rarity,Type,Properties,Text
Silvered Flail,unknown,"weapon, martial weapon, melee weapon","1d8, bludgeoning",
Silvered Greataxe,unknown,"weapon, martial weapon, melee weapon","1d12, slashing, - heavy, two-handed"," Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Silvered Greatclub,unknown,"weapon, simple weapon, melee weapon","1d8, bludgeoning, - two-handed"," Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Silvered Greatsword,unknown,"weapon, martial weapon, melee weapon","2d6, slashing, - heavy, two-handed"," Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Silvered Hand Crossbow,unknown,"weapon, martial weapon, ranged weapon","1d6, piercing, - ammunition (30/120 ft.), light, loading"," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
Silvered Handaxe,unknown,"weapon, simple weapon, melee weapon","1d6, slashing, - light, thrown (20/60 ft.)"," Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Silvered Heavy Crossbow,unknown,"weapon, martial weapon, ranged weapon","1d10, piercing, - ammunition (100/400 ft.), heavy, loading, two-handed"," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Silvered Javelin,unknown,"weapon, simple weapon, melee weapon","1d6, piercing, - thrown (30/120 ft.)"," Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Silvered Lance,unknown,"weapon, martial weapon, melee weapon","1d12, piercing, - reach, special"," Special. You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
Silvered Light Crossbow,unknown,"weapon, simple weapon, ranged weapon","1d8, piercing, - ammunition (80/320 ft.), loading, two-handed"," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Silvered Light Hammer,unknown,"weapon, simple weapon, melee weapon","1d4, bludgeoning, - light, thrown (20/60 ft.)"," Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Silvered Longbow,unknown,"weapon, martial weapon, ranged weapon","1d8, piercing, - ammunition (150/600 ft.), heavy, two-handed"," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Silvered Longsword,unknown,"weapon, martial weapon, melee weapon","1d8, slashing, - versatile (1d10)", Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
Silvered Mace,unknown,"weapon, simple weapon, melee weapon","1d6, bludgeoning",
Silvered Pike,unknown,"weapon, martial weapon, melee weapon","1d10, piercing, - heavy, reach, two-handed"," Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Silvered Quarterstaff,unknown,"weapon, simple weapon, melee weapon","1d6, bludgeoning, - versatile (1d8)", Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
Silvered Rapier,unknown,"weapon, martial weapon, melee weapon","1d8, piercing, - finesse"," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls."
Silvered Scimitar,unknown,"weapon, martial weapon, melee weapon","1d6, slashing, - finesse, light"," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
Silvered Shortbow,unknown,"weapon, simple weapon, ranged weapon","1d6, piercing, - ammunition (80/320 ft.), two-handed"," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Silvered Shortsword,unknown,"weapon, martial weapon, melee weapon","1d6, piercing, - finesse, light"," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
Silvered Spear,unknown,"weapon, simple weapon, melee weapon","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)"," Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Silvered War Pick,unknown,"weapon, martial weapon, melee weapon","1d8, piercing",
Silvered Warhammer,unknown,"weapon, martial weapon, melee weapon","1d8, bludgeoning, - versatile (1d10)", Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
Silvered Whip,unknown,"weapon, martial weapon, melee weapon","1d4, slashing, - finesse, reach"," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
Spear,none,"weapon, simple weapon, melee weapon","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)"," Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Spear of Warning,uncommon,"weapon, simple weapon, melee weapon","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","This magic weapon warns you of danger. While the weapon is on your person, you have advantage on initiative rolls. In addition, you and any of your companions within 30 feet of you can't be surprised, except when incapacitated by something other than nonmagical sleep. The weapon magically awakens you and your companions within range if any of you are sleeping naturally when combat begins. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Spellguard Shield,very rare,armor (shield),AC +2 + Dex,"While holding this shield, you have advantage on saving throws against spells and other magical effects, and spell attacks have disadvantage against you."
Splint Armor,none,heavy armor,AC 17,"This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Splint Armor of Acid Resistance,rare,heavy armor,AC 17,"You have resistance to acid damage while you wear this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Splint Armor of Cold Resistance,rare,heavy armor,AC 17,"You have resistance to cold damage while you wear this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Splint Armor of Fire Resistance,rare,heavy armor,AC 17,"You have resistance to fire damage while you wear this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Splint Armor of Force Resistance,rare,heavy armor,AC 17,"You have resistance to force damage while you wear this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Splint Armor of Lightning Resistance,rare,heavy armor,AC 17,"You have resistance to lightning damage while you wear this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Splint Armor of Necrotic Resistance,rare,heavy armor,AC 17,"You have resistance to necrotic damage while you wear this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Splint Armor of Poison Resistance,rare,heavy armor,AC 17,"You have resistance to poison damage while you wear this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Splint Armor of Psychic Resistance,rare,heavy armor,AC 17,"You have resistance to psychic damage while you wear this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Splint Armor of Radiant Resistance,rare,heavy armor,AC 17,"You have resistance to radiant damage while you wear this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Splint Armor of Thunder Resistance,rare,heavy armor,AC 17,"You have resistance to thunder damage while you wear this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Staff,none,"staff, weapon, spellcasting focus, simple weapon, melee weapon","1d6, bludgeoning, - versatile (1d8)"," Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
Staff of Fire,very rare,"staff, weapon, simple weapon, melee weapon","1d6, bludgeoning, - versatile (1d8)","You have resistance to fire damage while you hold this staff.The staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC: burning hands (1 charge), fireball (3 charges), or wall of fire (4 charges).The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff blackens, crumbles into cinders, and is destroyed. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Staff of Frost,very rare,"staff, weapon, simple weapon, melee weapon","1d6, bludgeoning, - versatile (1d8)","You have resistance to cold damage while you hold this staff.The staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC: cone of cold (5 charges), fog cloud (1 charge), ice storm (4 charges), or wall of ice (4 charges).The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1. the staff turns to water and is destroyed. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Staff of Healing,rare,"staff, weapon, simple weapon, melee weapon","1d6, bludgeoning, - versatile (1d8)","This staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC and spellcasting ability modifier: cure wounds (1 charge per spell level, up to 4th), lesser restoration (2 charges). or mass cure wounds (5 charges).The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1. the staff vanishes in a flash of light, lost forever. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Staff of Thunder and Lightning,very rare,"staff, weapon, simple weapon, melee weapon","1d6, bludgeoning, - versatile (1d8)","This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. It also has the following additional properties. When one of these properties is used, it can't be used again until the next dawn. Lightning. When you hit with a melee attack using the staff, you can cause the target to take an extra 2d6 lightning damage. Thunder. When you hit with a melee attack using the staff, you can cause the staff to emit a crack of thunder, audible out to 300 feet. The target you hit must succeed on a DC 17 Constitution saving throw or become stunned until the end of your next turn. Lightning Strike. You can use an action to cause a bolt of lightning to leap from the staff's tip in a line that is 5 feet wide and 120 feet long. Each creature in that line must make a DC 17 Dexterity saving throw, taking 9d6 lightning damage on a failed save, or half as much damage on a successful one. Thunderclap. You can use an action to cause the staff to issue a deafening thunderclap, audible out to 600 feet. Each creature within 60 feet of you (not including you) must make a DC 17 Constitution saving throw. On a failed save, a creature takes 2d6 thunder damage and becomes deafened for 1 minute. On a successful save, a creature takes half damage and isn't deafened. Thunder and Lightning. You can use an action to use the Lightning Strike and Thunderclap properties at the same time. Doing so doesn't expend the daily use of those properties, only the use of this one. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Staff of the Magi,legendary,"staff, weapon, simple weapon, melee weapon","1d6, bludgeoning, - versatile (1d8)","This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. While you hold it, you gain a +2 bonus to spell attack rolls.The staff has 50 charges for the following properties. It regains 4d6 + 2 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 20, the staff regains 1d12 + 1 charges. Spell Absorption. While holding the staff, you have advantage on saving throws against spells. In addition, you can use your reaction when another creature casts a spell that targets only you. If you do, the staff absorbs the magic of the spell, canceling its effect and gaining a number of charges equal to the absorbed spell's level. However, if doing so brings the staff's total number of charges above 50, the staff explodes as if you activated its retributive strike (see below). Spells. While holding the staff, you can use an action to expend some of its charges to cast one of the following spells from it, using your spell save DC and spellcasting ability: conjure elemental (7 charges), dispel magic (3 charges), fireball (7th-level version, 7 charges), flaming sphere (2 charges), ice storm (4 charges), invisibility (2 charges), knock (2 charges), lightning bolt (7th-level version, 7 charges), passwall (5 charges), plane shift (7 charges), telekinesis (5 charges), wall of fire (4 charges), or web (2 charges).You can also use an action to cast one of the following spells from the staff without using any charges: arcane lock, detect magic, enlarge/reduce, light, mage hand, or protection from evil and good. Retributive Strike. You can use an action to break the staff over your knee or against a solid surface, performing a retributive strike. The staff is destroyed and releases its remaining magic in an explosion that expands to fill a 30-foot-radius sphere centered on it.You have a 50 percent chance to instantly travel to a random plane of existence, avoiding the explosion. If you fail to avoid the effect, you take force damage equal to 16 × the number of charges in the staff. Every other creature in the area must make a DC 17 Dexterity saving throw. On a failed save, a creature takes an amount of damage based on how far away it is from the point of origin, as shown in the following table. On a successful save, a creature takes half as much damage.Distance from OriginDamage10 ft. away or closer8 × the number of charges in the staff11 to 20 ft. away6 × the number of charges in the staff21 to 30 ft. away4 × the number of charges in the staff Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Stone of Good Luck,uncommon,wondrous item,,"While this polished agate is on your person, you gain a +1 bonus to ability checks and saving throws."
Studded Leather Armor,none,light armor,AC 12 + Dex,"Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Studded Leather Armor of Acid Resistance,rare,light armor,AC 12 + Dex,"You have resistance to acid damage while you wear this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Studded Leather Armor of Cold Resistance,rare,light armor,AC 12 + Dex,"You have resistance to cold damage while you wear this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Studded Leather Armor of Fire Resistance,rare,light armor,AC 12 + Dex,"You have resistance to fire damage while you wear this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Studded Leather Armor of Force Resistance,rare,light armor,AC 12 + Dex,"You have resistance to force damage while you wear this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Studded Leather Armor of Lightning Resistance,rare,light armor,AC 12 + Dex,"You have resistance to lightning damage while you wear this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Studded Leather Armor of Necrotic Resistance,rare,light armor,AC 12 + Dex,"You have resistance to necrotic damage while you wear this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Studded Leather Armor of Poison Resistance,rare,light armor,AC 12 + Dex,"You have resistance to poison damage while you wear this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Studded Leather Armor of Psychic Resistance,rare,light armor,AC 12 + Dex,"You have resistance to psychic damage while you wear this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Studded Leather Armor of Radiant Resistance,rare,light armor,AC 12 + Dex,"You have resistance to radiant damage while you wear this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Studded Leather Armor of Thunder Resistance,rare,light armor,AC 12 + Dex,"You have resistance to thunder damage while you wear this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Sun Blade,rare,"weapon (longsword), martial weapon, melee weapon","1d8, radiant, - finesse, versatile (1d10)","This item appears to be a longsword hilt. While grasping the hilt, you can use a bonus action to cause a blade of pure radiance to spring into existence, or make the blade disappear. While the blade exists, this magic longsword has the finesse property. If you are proficient with shortswords or longswords, you are proficient with the sun blade.You gain a +2 bonus to attack and damage rolls made with this weapon, which deals radiant damage instead of slashing damage. When you hit an undead with it, that target takes an extra 1d8 radiant damage.The sword's luminous blade emits bright light in a 15-foot radius and dim light for an additional 15 feet. The light is sunlight. While the blade persists, you can use an action to expand or reduce its radius of bright and dim light by 5 feet each, to a maximum of 30 feet each or a minimum of 10 feet each. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Vicious Battleaxe,rare,"weapon, martial weapon, melee weapon","1d8, slashing, - versatile (1d10)","When you roll a 20 with this magic weapon, the target takes an extra 7 slashing damage.Note: According to the SRD, it is an extra 2d6 slashing damage, although this is incorrect. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Vicious Club,rare,"weapon, simple weapon, melee weapon","1d4, bludgeoning, - light","When you roll a 20 with this magic weapon, the target takes an extra 7 bludgeoning damage.Note: According to the SRD, it is an extra 2d6 bludgeoning damage, although this is incorrect. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
Vicious Dagger,rare,"weapon, simple weapon, melee weapon","1d4, piercing, - finesse, light, thrown (20/60 ft.)","When you roll a 20 with this magic weapon, the target takes an extra 7 piercing damage.Note: According to the SRD, it is an extra 2d6 piercing damage, although this is incorrect. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Vicious Dart,rare,"weapon, simple weapon, ranged weapon","1d4, piercing, - finesse, thrown (20/60 ft.)","When you roll a 20 with this magic weapon, the target takes an extra 7 piercing damage.Note: According to the SRD, it is an extra 2d6 piercing damage, although this is incorrect. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Vicious Flail,rare,"weapon, martial weapon, melee weapon","1d8, bludgeoning","When you roll a 20 with this magic weapon, the target takes an extra 7 bludgeoning damage.Note: According to the SRD, it is an extra 2d6 bludgeoning damage, although this is incorrect."
Vicious Greataxe,rare,"weapon, martial weapon, melee weapon","1d12, slashing, - heavy, two-handed","When you roll a 20 with this magic weapon, the target takes an extra 7 slashing damage.Note: According to the SRD, it is an extra 2d6 slashing damage, although this is incorrect. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Vicious Greatclub,rare,"weapon, simple weapon, melee weapon","1d8, bludgeoning, - two-handed","When you roll a 20 with this magic weapon, the target takes an extra 7 bludgeoning damage.Note: According to the SRD, it is an extra 2d6 bludgeoning damage, although this is incorrect. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Vicious Greatsword,rare,"weapon, martial weapon, melee weapon","2d6, slashing, - heavy, two-handed","When you roll a 20 with this magic weapon, the target takes an extra 7 slashing damage.Note: According to the SRD, it is an extra 2d6 slashing damage, although this is incorrect. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
